"ID","name","level0","level1","level2","level23","level3","zoning"
"CZ032","Plzenský",0,0,0,1,1,"UE27"
"CZ041","Karlovarský",0,0,0,1,1,"UE27"
"CZ042","Ústecký",0,0,0,1,1,"UE27"
"CZ051","Liberecký",0,0,0,1,1,"UE27"
"CZ052","Královehradecký",0,0,0,1,1,"UE27"
"CZ053","Pardubický",0,0,0,1,1,"UE27"
"CZ063","Vysocina",0,0,0,1,1,"UE27"
"CZ064","Jihomoravský",0,0,0,1,1,"UE27"
"CZ071","Olomoucký",0,0,0,1,1,"UE27"
"CZ072","Zlínský",0,0,0,1,1,"UE27"
"CZ080","Moravskoslezský",0,0,0,1,1,"UE27"
"DE111","Stuttgart, Stadtkreis",0,0,0,0,1,"UE27"
"DE112","Böblingen",0,0,0,0,1,"UE27"
"DE113","Esslingen",0,0,0,0,1,"UE27"
"DE114","Göppingen",0,0,0,0,1,"UE27"
"DE115","Ludwigsburg",0,0,0,0,1,"UE27"
"DE116","Rems-Murr-Kreis",0,0,0,0,1,"UE27"
"DE117","Heilbronn, Stadtkreis",0,0,0,0,1,"UE27"
"DE118","Heilbronn, Landkreis",0,0,0,0,1,"UE27"
"DE119","Hohenlohekreis",0,0,0,0,1,"UE27"
"DE11A","Schwäbisch Hall",0,0,0,0,1,"UE27"
"DE11B","Main-Tauber-Kreis",0,0,0,0,1,"UE27"
"DE11C","Heidenheim",0,0,0,0,1,"UE27"
"DE11D","Ostalbkreis",0,0,0,0,1,"UE27"
"DE121","Baden-Baden, Stadtkreis",0,0,0,0,1,"UE27"
"DE122","Karlsruhe, Stadtkreis",0,0,0,0,1,"UE27"
"DE123","Karlsruhe, Landkreis",0,0,0,0,1,"UE27"
"DE124","Rastatt",0,0,0,0,1,"UE27"
"DE125","Heidelberg, Stadtkreis",0,0,0,0,1,"UE27"
"DE126","Mannheim, Stadtkreis",0,0,0,0,1,"UE27"
"DE127","Neckar-Odenwald-Kreis",0,0,0,0,1,"UE27"
"DE128","Rhein-Neckar-Kreis",0,0,0,0,1,"UE27"
"DE129","Pforzheim, Stadtkreis",0,0,0,0,1,"UE27"
"DE12A","Calw",0,0,0,0,1,"UE27"
"DE12B","Enzkreis",0,0,0,0,1,"UE27"
"DE12C","Freudenstadt",0,0,0,0,1,"UE27"
"DE131","Freiburg im Breisgau, Stadtkreis",0,0,0,0,1,"UE27"
"DE132","Breisgau-Hochschwarzwald",0,0,0,0,1,"UE27"
"DE133","Emmendingen",0,0,0,0,1,"UE27"
"DE134","Ortenaukreis",0,0,0,0,1,"UE27"
"DE135","Rottweil",0,0,0,0,1,"UE27"
"DE136","Schwarzwald-Baar-Kreis",0,0,0,0,1,"UE27"
"DE137","Tuttlingen",0,0,0,0,1,"UE27"
"DE138","Konstanz",0,0,0,0,1,"UE27"
"DE139","Lörrach",0,0,0,0,1,"UE27"
"DE13A","Waldshut",0,0,0,0,1,"UE27"
"DE141","Reutlingen",0,0,0,0,1,"UE27"
"DE142","Tübingen, Landkreis",0,0,0,0,1,"UE27"
