"id","NUTS","pct"
"50kmX3125Y1875","ES422","11,899712"
"50kmX3125Y1875","ES425","0,090418"
"50kmX3125Y1925","ES422","2,756455"
"50kmX3125Y1925","ES425","11,656721"
"50kmX3125Y1975","ES300","0,165393"
"50kmX3125Y1975","ES425","15,061825"
"50kmX3125Y2025","ES300","19,144192"
"50kmX3125Y2025","ES411","3,433751"
"50kmX3125Y2025","ES425","3,910105"
"50kmX3125Y2075","ES300","3,209739"
"50kmX3125Y2075","ES411","8,320868"
"50kmX3125Y2075","ES416","19,750592"
"50kmX3125Y2125","ES411","0,222482"
"50kmX3125Y2125","ES416","28,355444"
"50kmX3125Y2125","ES418","3,396597"
"50kmX3125Y2175","ES414","3,065689"
"50kmX3125Y2175","ES416","1,140298"
"50kmX3125Y2175","ES418","26,239688"
"50kmX3125Y2225","ES414","29,147511"
"50kmX3125Y2225","ES418","1,558712"
"50kmX3125Y2275","ES413","1,298982"
"50kmX3125Y2275","ES414","28,250913"
"50kmX3125Y2325","ES130","7,613337"
"50kmX3125Y2325","ES413","6,033594"
"50kmX3125Y2325","ES414","14,06987"
"50kmX3125Y2375","ES120","12,586076"
"50kmX3125Y2375","ES130","2,890023"
"50kmX3125Y2375","ES413","0,697053"
"50kmX3125Y3325","IE025","0,016421"
"50kmX3125Y3375","IE024","16,291091"
"50kmX3125Y3375","IE025","3,594121"
"50kmX3125Y3425","IE023","11,85033"
"50kmX3125Y3425","IE024","15,344633"
"50kmX3125Y3425","IE025","0,068347"
"50kmX3125Y3475","IE012","8,062508"
"50kmX3125Y3475","IE013","4,339809"
"50kmX3125Y3475","IE023","16,582731"
"50kmX3125Y3525","IE012","1,454164"
"50kmX3125Y3525","IE013","16,334541"
"50kmX3125Y3575","IE011","3,983587"
"50kmX3125Y3575","IE013","13,744898"
"50kmX3125Y3625","IE011","10,485549"
"50kmX3125Y3625","IE013","0,104938"
"50kmX3125Y3675","IE011","1,790109"
"50kmX3125Y4775","IS002","0,368356"
"50kmX3125Y4825","IS002","2,351012"
"50kmX3125Y4875","IS002","2,351012"
"50kmX3125Y4925","IS002","2,351012"
"50kmX3125Y4975","IS002","2,351012"
"50kmX3125Y5025","IS002","0,732971"
"50kmX3175Y1625","ES611","17,178545"
"50kmX3175Y1625","ES614","2,922481"
"50kmX3175Y1675","ES611","5,364586"
"50kmX3175Y1675","ES614","16,060979"
"50kmX3175Y1725","ES614","7,662012"
"50kmX3175Y1725","ES616","11,826927"
"50kmX3175Y1775","ES422","0,146721"
"50kmX3175Y1775","ES616","19,106067"
"50kmX3175Y1825","ES422","11,921016"
"50kmX3175Y1825","ES616","0,08107"
"50kmX3175Y1875","ES422","11,971189"
"50kmX3175Y1925","ES422","2,014537"
"50kmX3175Y1925","ES425","12,595253"
"50kmX3175Y1975","ES300","10,396984"
"50kmX3175Y1975","ES425","9,999303"
"50kmX3175Y2025","ES300","30,48728"
"50kmX3175Y2025","ES424","0,075164"
"50kmX3175Y2025","ES425","0,001765"
"50kmX3175Y2075","ES300","24,31942"
"50kmX3175Y2075","ES416","4,82881"
"50kmX3175Y2075","ES424","1,107509"
"50kmX3175Y2125","ES300","0,301572"
"50kmX3175Y2125","ES412","0,191187"
"50kmX3175Y2125","ES416","31,378439"
"50kmX3175Y2125","ES424","0,095304"
"50kmX3175Y2175","ES412","11,277629"
"50kmX3175Y2175","ES414","2,33953"
"50kmX3175Y2175","ES416","2,787379"
"50kmX3175Y2175","ES418","5,748242"
"50kmX3175Y2225","ES412","12,89525"
"50kmX3175Y2225","ES414","7,964945"
"50kmX3175Y2275","ES130","2,624996"
"50kmX3175Y2275","ES412","13,123174"
"50kmX3175Y2275","ES414","5,783613"
"50kmX3175Y2325","ES130","36,225619"
